71.69,63.07,52.63,52.00,50.07,51.25,56.41,62.51,54.47,57.95,61.64,53.53,48.33,50.36,50.10
71.82,71.44,60.11,57.25,58.17,63.76,71.96,74.27,77.35,76.65,80.90,78.72,78.83,68.22,63.77
18.28,12.28,29.35,39.39,25.17,6.20,32.98,40.90,32.53,13.62,39.06,45.26,30.67,13.09,33.57
39.92,53.57,53.64,44.39,45.65,53.41,63.86,51.71,52.61,64.47,60.18,54.19,56.61,65.26,57.16
31.50,26.50,18.77,27.67,35.64,17.07,37.86,42.02,37.44,43.65,46.68,48.69,46.01,36.99,34.80
89.20,100.40,90.32,90.20,89.13,84.39,79.92,76.85,59.67,55.78,70.26,80.67,71.09,61.90,61.67
100.22,106.82,94.66,106.73,98.79,95.78,117.60,95.80,84.53,101.80,118.42,107.77,93.72,96.26,89.20
89.69,55.55,65.95,98.76,95.04,59.61,38.73,82.19,70.98,35.09,30.61,79.71,78.27,51.02,48.86
153.03,171.11,168.76,158.76,159.49,173.53,165.66,161.32,141.07,137.49,131.15,149.85,163.60,188.00,193.42
83.70,85.53,83.58,104.67,95.12,92.90,111.03,112.94,112.66,107.33,104.73,122.32,125.79,122.67,136.00
49.39,46.02,54.07,65.08,50.79,44.48,55.71,61.21,64.90,28.47,31.81,55.22,45.83,34.56,31.98
59.26,58.11,59.90,60.21,58.95,61.58,74.43,69.99,69.44,62.98,52.76,63.68,54.88,64.74,52.08
55.44,40.05,14.57,33.39,41.47,32.38,11.86,24.89,33.73,22.42,6.49,33.43,28.23,29.48,10.41
71.82,69.84,67.58,67.31,56.18,49.39,40.35,51.48,41.76,40.07,41.35,29.10,32.90,47.63,37.86
38.97,35.85,35.45,33.50,30.45,27.95,26.35,33.95,37.21,36.00,25.14,24.53,28.53,31.95,31.73
28.12,24.70,29.12,19.11,10.05,15.76,17.63,24.82,31.46,34.42,30.03,34.85,27.54,18.67,16.09
27.62,30.15,28.17,21.62,9.70,19.32,23.86,27.79,35.90,45.02,54.45,46.81,40.63,38.51,40.42
16.68,17.79,8.91,6.36,6.79,9.96,5.28,10.23,19.80,12.51,15.76,20.54,28.96,16.46,3.95
22.05,20.73,22.09,18.81,15.58,15.20,18.08,24.48,24.25,29.15,28.45,31.31,31.75,23.20,36.97
20.53,11.94,8.77,16.27,18.16,7.29,15.06,27.82,30.04,21.18,22.01,23.38,28.31,12.81,26.92
50.77,53.21,55.52,49.22,44.14,36.07,46.91,78.52,84.59,67.81,55.72,48.63,49.60,52.36,54.77
59.92,57.98,62.48,52.25,51.38,53.42,67.49,98.40,108.31,113.92,98.03,79.40,75.64,81.29,76.59
39.03,23.54,48.95,54.91,33.81,23.68,45.93,63.17,31.51,23.69,50.57,61.84,45.69,4.94,38.41
79.96,86.27,96.46,94.79,86.24,93.43,95.79,81.92,72.71,88.53,89.29,84.61,97.63,92.45,97.02
75.81,42.62,32.55,68.72,78.46,62.14,38.12,56.90,69.66,73.41,83.58,59.43,79.66,61.42,86.60
159.03,135.30,140.50,138.73,145.17,140.99,146.63,123.70,128.26,88.57,104.53,113.16,129.07,116.75,121.03
164.80,156.25,164.91,149.22,155.78,168.44,201.96,190.11,185.64,193.82,203.62,193.43,201.41,193.68,197.37
81.82,34.79,70.78,91.63,81.76,25.97,90.50,125.61,89.99,50.28,89.00,112.20,102.55,25.63,85.53
153.99,155.76,145.50,131.18,151.20,170.55,173.87,166.64,176.98,155.82,150.40,118.05,147.49,160.34,156.88
99.02,68.94,64.76,87.03,103.86,100.50,127.95,140.41,146.51,134.93,133.11,111.08,127.70,126.47,116.03
49.40,61.50,74.58,90.54,89.60,63.18,44.32,74.74,95.46,63.83,20.33,53.54,84.76,66.10,57.60
58.08,71.00,80.41,98.58,99.75,85.95,84.69,102.22,113.03,110.53,91.54,90.10,98.22,112.43,100.49
43.45,34.32,60.69,78.34,47.44,25.59,66.37,70.33,40.87,25.77,48.84,73.20,33.98,28.31,43.93
113.51,119.70,116.14,115.19,108.05,118.48,128.74,109.35,115.15,101.11,81.83,89.33,98.03,112.34,99.32
63.70,64.68,62.03,64.69,63.67,78.78,84.45,89.11,90.98,91.77,81.91,76.78,85.71,84.50,91.59
4.60,7.59,6.76,1.69,4.25,8.13,10.53,13.82,16.24,24.73,16.91,14.81,12.27,14.87,20.99
4.39,5.34,10.40,3.52,4.10,2.96,9.62,7.19,10.85,15.16,11.55,6.76,9.94,21.43,8.32
11.33,16.87,35.60,21.79,8.67,16.50,9.21,17.43,4.75,16.93,7.16,11.08,3.62,12.66,6.98
32.47,40.30,57.00,50.05,36.03,32.84,32.61,39.67,29.25,28.78,13.32,22.42,31.65,44.96,38.75
12.68,16.32,25.98,28.50,22.22,15.77,24.40,26.58,27.63,20.36,13.35,20.78,29.65,35.09,36.50
28.32,25.37,10.33,14.52,12.07,6.76,11.55,26.19,24.77,24.21,29.78,19.33,24.13,27.14,28.35
28.17,24.14,20.98,21.47,14.29,10.98,16.91,44.19,47.49,48.45,52.85,49.92,52.23,45.83,38.46
16.95,9.69,7.07,16.13,16.22,10.38,7.25,20.82,23.80,22.95,21.82,25.13,29.57,17.01,9.70
23.98,25.45,21.83,26.48,27.59,30.43,33.35,30.50,28.24,26.31,25.74,24.32,28.09,27.92,29.88
14.48,11.50,10.83,16.46,18.90,18.02,19.89,23.98,26.13,26.82,25.58,26.98,29.29,23.54,24.66
19.51,21.12,26.08,25.89,32.10,24.94,20.66,20.73,20.12,11.90,19.14,23.24,23.45,12.09,19.85
21.85,24.60,28.83,30.33,35.53,34.15,34.83,31.22,34.08,34.33,37.64,33.43,34.13,32.37,33.80
12.91,7.10,9.56,15.34,18.52,10.90,7.77,18.82,20.15,12.45,20.81,18.72,18.67,10.90,11.74
20.48,27.35,26.64,21.19,25.73,29.45,20.26,16.49,17.04,15.55,21.22,13.84,21.79,20.17,20.00
12.47,11.81,15.06,20.14,15.63,14.51,14.43,18.11,15.44,16.05,19.44,16.66,18.32,16.61,17.11
21.44,19.43,10.94,22.47,19.59,16.31,16.81,16.88,9.26,6.63,9.38,14.58,13.14,11.29,11.52
23.42,20.33,18.96,21.70,23.20,21.16,23.47,20.53,18.66,20.50,22.42,20.69,22.43,22.85,22.59
2.62,3.12,8.53,5.88,5.64,5.90,9.14,6.77,9.52,8.25,13.09,8.86,11.45,8.23,11.51
6.30,3.60,2.82,2.76,4.04,1.21,6.23,8.21,8.14,8.60,4.58,2.45,2.09,2.89,2.08
2.86,2.89,1.27,1.34,3.54,2.07,5.79,4.17,7.96,8.22,2.89,1.83,1.57,2.93,1.08
1.72,4.75,6.38,6.02,3.90,7.79,7.16,5.64,1.94,3.93,2.46,3.36,1.38,3.42,3.54
1.65,5.35,7.34,5.86,8.51,9.38,7.81,8.37,5.80,4.21,2.55,4.00,3.06,3.38,7.19
0.87,0.52,3.00,1.37,3.04,3.00,2.78,3.12,2.69,2.92,1.13,1.95,3.99,1.96,4.36
1.97,0.92,0.82,4.24,3.23,1.58,1.94,1.19,0.63,1.49,1.72,1.41,1.56,2.44,0.37
4.40,0.75,1.69,3.32,2.53,1.37,1.75,0.76,0.86,1.20,1.49,0.25,0.90,2.68,1.77
18.21,10.83,10.76,11.16,11.59,12.54,9.21,4.86,7.54,8.80,8.98,7.86,6.44,5.23,8.38
17.85,14.08,12.88,13.25,14.35,14.62,14.71,11.34,14.09,18.43,18.34,16.08,13.43,12.38,14.03
3.77,3.40,2.91,3.38,5.34,3.44,4.65,6.19,7.76,9.83,9.79,8.83,7.04,7.64,6.97
0.84,1.04,0.98,0.62,2.74,4.96,3.98,1.07,1.26,1.35,2.11,1.52,0.67,1.58,1.14
0.75,1.21,1.54,1.86,3.20,2.67,3.01,0.73,0.37,0.87,2.50,0.84,0.19,1.14,1.33
5.56,6.74,8.24,8.46,8.83,8.30,5.00,3.85,2.59,3.96,4.74,4.11,4.35,5.40,5.75
6.74,7.97,8.77,9.16,10.36,11.39,10.23,8.19,6.64,9.39,11.01,9.42,9.47,10.23,9.80
2.31,0.21,2.10,4.11,3.96,3.74,4.38,4.67,3.93,5.45,6.23,5.74,5.37,4.57,4.52
3.47,5.09,6.33,4.78,4.12,1.46,0.79,1.01,1.70,1.33,2.75,3.36,4.33,3.00,1.00
2.32,1.85,3.53,3.35,3.06,1.10,0.31,1.20,1.55,2.40,3.58,2.81,4.36,3.01,1.92
0.48,2.06,3.31,2.92,2.30,2.34,2.36,2.75,2.04,2.55,1.17,0.93,2.55,2.15,1.44
1.02,1.99,3.56,2.35,2.43,4.05,3.81,3.97,4.38,3.64,1.86,2.65,4.10,3.40,3.38
0.33,0.62,2.79,1.40,0.37,2.84,1.65,1.92,3.46,2.01,1.66,2.52,3.47,1.86,2.26
1.19,2.05,3.97,2.11,1.56,3.01,2.39,1.94,1.79,1.73,2.87,2.88,0.49,3.85,3.13
0.97,1.27,2.58,1.26,1.14,1.69,1.76,2.49,1.41,2.14,3.42,3.04,1.45,4.00,2.76
1.88,1.30,0.41,0.71,0.68,0.55,0.51,0.81,0.18,1.68,2.70,2.72,1.09,1.19,1.60
2.58,0.67,0.19,0.36,0.95,0.61,0.65,0.30,0.42,1.52,3.31,3.58,3.48,1.69,2.55
1.25,0.84,1.16,0.69,1.61,1.60,0.37,0.15,0.16,1.16,1.84,1.48,2.41,1.15,1.29
0.27,1.19,2.28,1.48,2.31,3.01,1.17,0.47,0.27,0.70,0.30,0.41,0.33,0.24,0.53
0.44,0.58,1.42,1.21,1.37,1.78,1.20,0.42,0.30,0.48,0.29,0.27,0.29,0.31,0.22
1.34,1.03,1.38,0.51,0.64,0.34,0.36,0.12,0.28,0.38,0.44,0.93,0.94,0.58,0.42
